date,value
2023-11-30,469905.563560418
2023-10-31,473025.356280751
2023-09-30,476090.360703491
2023-08-31,478709.04456505
2023-07-31,480180.217429814
2023-06-30,480221.810320114
2023-05-31,478760.082405287
2023-04-30,475550.524285763
2023-03-31,473378.859851686
2023-02-28,473336.124059033
2023-01-31,476399.933203061
2022-12-31,480779.254243386
2022-11-30,484752.334353355
2022-10-31,487936.30308443
2022-09-30,490367.985496904
2022-08-31,495001.610246636
2022-07-31,499505.505659977
2022-06-30,503023.26550062
2022-05-31,501474.153033269
2022-04-30,496613.293642036
2022-03-31,489513.791433579
2022-02-28,482259.134800921
2022-01-31,476355.954828787
2021-12-31,471214.256856203
2021-11-30,468141.683854911
2021-10-31,466464.320508969
2021-09-30,465828.445042713
2021-08-31,463637.209758574
2021-07-31,456821.234043418
2021-06-30,446981.884773016
2021-05-31,436932.711383183
2021-04-30,429493.134156111
2021-03-31,421452.894127716
2021-02-28,413677.495608771
2021-01-31,404952.693977853
2020-12-31,397736.789360658
2020-11-30,389952.783101081
2020-10-31,381887.778352867
2020-09-30,374685.132609627
2020-08-31,369047.161901443
2020-07-31,366875.674834622
2020-06-30,365717.184013503
2020-05-31,364152.501298322
2020-04-30,360580.475535569
2020-03-31,356136.903859005
2020-02-29,353422.112499191
2020-01-31,351724.08750695
2019-12-31,350989.172254147
2019-11-30,348515.990597645
2019-10-31,345823.16223366
2019-09-30,343328.30491831
2019-08-31,342124.366013539
2019-07-31,340767.28577885
2019-06-30,338343.572912156
2019-05-31,334970.077030542
2019-04-30,331121.442943227
2019-03-31,327733.839664609
2019-02-28,324243.716733628
2019-01-31,321809.82962675
2018-12-31,319444.020756643
2018-11-30,317653.472737068
2018-10-31,315227.313090593
2018-09-30,313372.495093777
2018-08-31,310209.032393386
2018-07-31,307426.140875965
2018-06-30,304598.795943274
2018-05-31,302961.764016841
2018-04-30,300606.623846244
2018-03-31,297204.106592337
2018-02-28,293108.654834802
2018-01-31,288624.865620878
2017-12-31,284771.718744352
2017-11-30,281538.318436997
2017-10-31,278955.528168377
2017-09-30,277056.519618936
2017-08-31,273943.987734769
2017-07-31,271142.508267011
2017-06-30,267616.157405615
2017-05-31,265621.320416138
2017-04-30,263817.391394778
2017-03-31,262955.414697891
2017-02-28,262976.885869054
2017-01-31,263227.118420444
2016-12-31,263034.923197162
2016-11-30,261654.18376308
2016-10-31,260037.311544296
2016-09-30,257994.996524661
2016-08-31,256352.782737343
2016-07-31,254334.66432804
2016-06-30,252785.243856146
2016-05-31,251485.580975899
2016-04-30,251838.165762192
2016-03-31,252361.966689559
2016-02-29,252725.324839635
2016-01-31,252249.255795056
2015-12-31,251576.394795014
2015-11-30,250090.134311101
2015-10-31,248104.477313229
2015-09-30,245840.577078595
2015-08-31,244154.264222808
2015-07-31,242420.956038785
2015-06-30,240061.388396893
2015-05-31,237765.649078982
2015-04-30,235707.348982551
2015-03-31,234861.342054703
2015-02-28,234596.457689358
2015-01-31,234399.195063272
2014-12-31,233039.569017464
2014-11-30,230852.277512383
2014-10-31,228527.105192386
2014-09-30,227387.218398971
2014-08-31,226635.669562184
2014-07-31,226707.941639744
2014-06-30,225794.191114271
2014-05-31,224770.221440791
2014-04-30,222728.157821379
2014-03-31,221211.40730213
2014-02-28,219838.881977675
2014-01-31,218276.575993825
2013-12-31,216716.988780062
2013-11-30,215004.677084422
2013-10-31,213596.881765741
2013-09-30,211381.211900157
2013-08-31,209450.39560396
2013-07-31,207313.852655201
2013-06-30,205273.572992966
2013-05-31,201937.075152925
2013-04-30,197896.659646
2013-03-31,194347.825563736
2013-02-28,192009.074933152
2013-01-31,190513.971500304
2012-12-31,189513.306851373
2012-11-30,188217.654811396
2012-10-31,187491.109544694
2012-09-30,186705.621818848
2012-08-31,186531.833621636
2012-07-31,186404.612666129
2012-06-30,186063.14071556
2012-05-31,185189.326687046
2012-04-30,183322.671672814
2012-03-31,181162.126125443
2012-02-29,178145.234841549
2012-01-31,176275.98071221
2011-12-31,175135.526226604
2011-11-30,175551.037692311
2011-10-31,176277.671309756
2011-09-30,176811.526319511
2011-08-31,177247.857926921
2011-07-31,177289.556484326
2011-06-30,177445.072393928
2011-05-31,177829.869766005
2011-04-30,179117.663251361
2011-03-31,181783.511434229
2011-02-28,187763.349944044
2011-01-31,192981.685602025
2010-12-31,197000.736964469
2010-11-30,197234.012415865
2010-10-31,197957.603269021
2010-09-30,198790.431435324
2010-08-31,200185.750259967
2010-07-31,200678.162345698
2010-06-30,201212.966162801
2010-05-31,201448.916109329
2010-04-30,202049.75052019
2010-03-31,202587.291073169
2010-02-28,203776.478020343
2010-01-31,205092.122228682
2009-12-31,206058.261003967
2009-11-30,205737.300547979
2009-10-31,204672.929565161
2009-09-30,202198.873686648
2009-08-31,201350.269609085
2009-07-31,201762.581261178
2009-06-30,204578.939925802
2009-05-31,206713.114040393
2009-04-30,208484.652436276
2009-03-31,209490.469158494
2009-02-28,209934.019557879
2009-01-31,210118.816527764
2008-12-31,219776.0
2008-11-30,220347.0
2008-10-31,220771.0
2008-09-30,221228.0
2008-08-31,221310.0
2008-07-31,221684.0
2008-06-30,220484.0
2008-05-31,221028.0
2008-04-30,221053.0
2008-03-31,222485.0
2008-02-29,222009.0
2008-01-31,220783.0
2007-12-31,219191.0
2007-11-30,217548.0
2007-10-31,216690.0
2007-09-30,218624.0
2007-08-31,220110.0
